Disease,Symptoms
고혈압 질환,"['고혈압 질병 통증 흉부', '호흡 곤란', '현기증', '천식', '낙상', '실신', '현기증', '발한 증가', '촉진', '메스꺼움', '협심증', '압력 가슴의 증상입니다.']"
당뇨병,"['당뇨병 다뇨증', '다형 세포증', '호흡 곤란', '통증 가슴', '천공', '메스꺼움', '정형 외과', '땀', '발한 증가', '응답', '정신 상태 변화', '현기증', '구토', '호흡의 증상입니다.']"
우울 장애,"['우울 장애 느낌 자살', '자살', '환각', '환각', '절망감', '울음 소리', '잠들기', '운동 지연', '짜증나는 분위기', '정전', '기분 우울', '환각 시각', '걱정', '교반', '떨림', '구두 청각 환각', '에너지 증상입니다.증가', '난이도', '악몽', '집중할 수 없음', '노숙자']"
관상 동맥 심장병,"['관상 동맥 심장 질환 통증 흉부', '협심증 흉부', '호흡 곤란', '저혈압', '발한 증가', '압력 가슴', '운동에 대한 호흡 곤란', '정형 외과', '흉부 압박감의 증상입니다.']"
사고 뇌 혈관,"['사고 뇌 혈관 이상의 증상', '천식', '말하기', '얼굴 마비', '혈전증', '무응기', '발작', '마비의 증상입니다.']"
만성 폐쇄성기도 질환,"['만성 폐쇄성기도 질환 호흡 곤란', '천명', '기침', '호흡 곤란', '고통 호흡기', '가래 화농성', '저산소 혈증', '고혈압', '환자 비 준수', '흉부 타협의 증상입니다.']"
부족 신장,"['부족 신장 호흡 곤란', '고 칼륨 혈증', '정형 외과', '랠리', '긴급 성과', '복수', '복수', '기아의 긍정적', '천식', '묵시록', '정신 상태 변화', '호기심', '난이', '질환', '저혈압', '부풀어 오르기', '저축증의 증상입니다.']"
퇴행성 다 관절염,"['퇴행성 다 관절염 통증', '음식 불내증', '손의 마비', '일반적인 불편 함', '졸음', '천식', '비소 제조', '비생산적인 기침', '다감서', '강성', '불안정한 보행의 증상입니다.']"
갑상선 기능 저하증,"['갑상선 기능 항진증 부족', '전립선', '졸린', '저 나트륨 혈증', '낙상', '불안정한 걸음 걸이', '다뇨증', '저혈압', '난이도', '종합', '악몽', '말하기', '체중 증가', '무 천공', '피곤한', '교반', '정신 상태 변화', '운동 지체의 증상입니다.', '구토', '마비', '신체 구조의 질량']"
불안 상태,"['불안 상태 걱정', '자살 느낌', '자살', '잠들기', '느낌', '절망적', '과민성 기분', '진전', '조정', '울음', '종교적 신념', '긴장', '환각 시각', '형성', '난이도', '환자 비 준수', '대가가 있습니다.', '촉진', '환각 청각', '기분 우울', '뜨거운 플러시', '고통', '의식이 깨끗하고 악몽']"
1 차 악성 신 생물,"['1 차 악성 신 생물 통증', '신체 구조', '병변', '쿠시 잉 오이드 습관', '강조 변화', '체중 감소', '복수', '쉰 목소리', '두껍게', '혈뇨의 증상입니다.']"
셀룰티스,"['셀룰레스 홍성', '통증', '붓기', '발적', '열', '농양 박테리아', '환자 비 규정 준수', '저혈압', '과실', '가려움증', '통증 가슴', '긁힘 자국', '냉기', '터치하는 아프기의 증상입니다.']"
패혈증,"['패혈증 발열', '고통 호흡기', '저혈압', '빈맥', '차가운', '무기력', '브래디카르 디아', '브리치 프리젠 테이션', '청색증', '자발적인 막 파열', '출혈', '무관']"
심근 병증,"['심근 병증 호흡 곤란', '정형 외과', '저혈압', '경정 정맥 팽창', '촉진', '통증 흉부', '조감사', '노란 가래', '랠리', '호흡 곤란', '운동 호흡 곤란', '남은 심방의 과축증', '피로', '체중 증가', '환자 비 충만의 증상입니다.']"
암종,"['신체 구조', '통증', '병변', '종양 세포 침습', '두껍게', '체중 감소', '쉰 목소리', '일반적인 불편 함', '전이성 병변', '비 생산 기침', '변비', '불행', '페르테스 시아', '그라비아 0', '설사', '설사', '설사', '설사', '설사의 증상입니다.만지기', '가슴 앓이', '메스꺼움', '폐 결절이 아프다']"
말초 혈관 질환,"['말초 혈관 질환의 증상', '호흡 곤란', '휴식 통증', '협심증', '비 응답', '고 칼륨 혈증', '부비동 리듬', '노사 호흡', '호흡 곤란', '손질', '식욕 부진', '졸린 증상입니다.']"
정신병 장애,"['정신병 장애 자살', '환각 청각', '자살', '환각 시각', '환각 시각', '운동 지연', '정전', '언어 청각 환각', '절망', '과민성 기분', '동요', '떨림', '카타토니아', '울음', '노숙자', '잠들기', '철수', '에너지 증가', '중독', '걱정', '행동 과잉 행동', '환자 비 규정 준수', '기분 우울', '끔찍한', '악몽', '의식 명확성']"
승모판 기능 부전,"['승모판의 증상', '호흡 곤란', '호흡 곤란', '운동 호흡기', '무증상', '저축증', '호흡 곤란', '실신', '두껍게', '왼쪽 심방 비대', '촉진', '피로', '구토', '심장', '심혈구', '가슴 불편 함']"
관절염,"['관절염 통증', '혈역학 적으로 안정', '잠들기', '천식', '천공', '붓기', '비정형', '일반적인 불공정', '호흡 곤란', '팽창 된 복부의 증상입니다.']"
기관지염,"['기관지염 기침', '천명', '호흡 곤란', '흉부 압박감', '열', '목이 아프고 생산적인 기침', '간장 비대', '밤 땀', '혈통', '코 니플', '해킹 기침', '호흡 곤란', '차가운', '스트라이더', '체중 감소의 증상입니다.']"
선암종,"['신체 구조', '병변', '체중 감소', '변비', '변비', '변형', '대변 구경 감소', '포만감', '조기', '헤마 토치 지아', '여가', '통증', '흉터 조직', '통증 복부의 증상 증상입니다.']"
편집증,"['편집증 환각 청각', '환각 시각', '동요', '짜증나는 분위기', '언어 청각 환각', '자살', '자살', '자살', '끔찍한', '신학', '노숙자', '에너지 증가', '분위기', '분위기', '흉터', '정전', '느슨한 연관성의 증상입니다.']"
췌장염,"['췌장염 구토', '통증 복부', '메스꺼움', '통증', '설사', '대변 색상', '엄격한 - 온도 관련 관찰', '아파이 렉스', '터치 할 수있는 증상입니다.']"
요실금,"['요실금 부각증', '발작', '무력증', '요실금', '무의식 상태', '분위기', '변덕', '떨어지는 것에 대한 두려움', '떨림', '경련', '불행', '신 접근', '낙관', '강성', '무관심의 증상입니다.']"
발작 호흡 곤란,"['발작성 호흡 곤란 정형 외과', '호흡 곤란', '운동 호흡 곤란', '경정 정맥 팽창', '랠리', '통증 가슴', '땀', '체중 증가', '기침', '호기심 증상입니다.']"
탈장,"['탈장 통증 복부', '통증,과 호흡', '극심한 통증', '개그', '메스꺼움', '자세', '편마비', '만지기', '출혈', '묘목', '음식 불내증', '맥박 부재', '무력성', '신체 구조', '두꺼운 증상입니다.']"
림프병,"['림프 질환 통증', '신체 구조 질량', '밤 땀', '비장 비대', '병변', '냉기', '체중 감소', '부종', '열', '과실', '프리미티스', '비생산적인 기침', '여신', '발적', '간장', '피로의 증상입니다.']"
