Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17,Symptom 18,Symptom 19,Symptom 20,Symptom 21,Symptom 22,Symptom 23,Symptom 24,Symptom 25,Symptom 26,Symptom 27,Symptom 28
Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection, skin rash, nodal skin eruptions, dischromic  patches,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,itching, nodal skin eruptions, dischromic  patches,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,itching, skin rash, dischromic  patches,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,itching, skin rash, nodal skin eruptions,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy, continuous sneezing, shivering, chills, watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,
Allergy, shivering, chills, watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy, continuous sneezing, chills, watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy, continuous sneezing, shivering, watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy, continuous sneezing, shivering, chills,,,,,,,,,,,,,,,,,,,,,,,,,
GERD, stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain,,,,,,,,,,,,,,,,,,,,,,
GERD, stomach pain, ulcers on tongue, vomiting, cough, chest pain,,,,,,,,,,,,,,,,,,,,,,,
GERD, stomach pain, acidity, vomiting, cough, chest pain,,,,,,,,,,,,,,,,,,,,,,,
GERD, stomach pain, acidity, ulcers on tongue, cough, chest pain,,,,,,,,,,,,,,,,,,,,,,,
GERD, stomach pain, acidity, ulcers on tongue, vomiting, chest pain,,,,,,,,,,,,,,,,,,,,,,,
GERD, stomach pain, acidity, ulcers on tongue, vomiting, cough,,,,,,,,,,,,,,,,,,,,,,,
GERD, acidity, ulcers on tongue, vomiting, cough, chest pain,,,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,,,,,,,,,,,,,,,,,,,,,,
