1,2
피로,천명
구토,관절 부기
메스꺼움,복수
고열,저나트륨혈증
두통,혼잡
식욕 상실,위 출혈
복통,두근거림
피로,수혈 받음
가려움증,비멸균 주사 받음
황달,부비동 압력
구토,고칼륨혈증
기침,혈역학적으로 안정됨
눈의 황변,안절부절
권태감,전립선 비대증
오한,의식 명료
관절 통증,노숙
고열,독성 모습 (티포스)
땀,서맥
피부 발진,종양 세포 침입
흉통,급성 간부전
통증,정신 상태 변화
어두운 소변,거식증
식욕 상실,구아약 양성
호흡 곤란,기분 변화
무기력,산성
메스꺼움,종아리의 두드러진 정맥
두통,복부 압통
설사,트랜스아미나아제 상승
근육통,음주력
과민성,멍
복통,울적함
열,발적
과도한 배고픔,세균 농양
체중 감소,체액 과부하
황달,무의식 상태
눈의 황변,염증성 손톱
복부 통증,가스 배출
미열,투명도 감소
권태감,경정맥 확장
오한,은색 먼지 같은
부은 림프절,불안정함
가래,정상 부비동 리듬
숨가쁨,우울한 기분
시야 흐림 및 왜곡,손톱의 작은 움푹 패인 부분
현기증,악몽
설사,내부 가려움증
관절 통증,중독
호흡 곤란,회전 움직임
무반응,통증이 있는 걷기
변비,기립성 저혈압
쇠약,비장 비대
땀,점 유뇨
흉통,간대성 경련
피부 발진,반상출혈
한기,언어적 청각 환각
어두운 소변,객혈
체중 감소,노란 딱지에서 나오는 액체
초조,전이성 병변
몸에 붉은 반점,쿠싱 체질
열 없음,항문 자극
폐음,코 주위 붉은 상처
기침,긴장증
근육통,움직임 경직
설사,호흡음 감소
과민성,혼수
병변,녹슨 가래
비정상 월경,부비동 압력
가슴 통증,두근거림
우울증,위 출혈
과도한 배고픔,비멸균 주사 받음
빠른 심박수,시각 장애
신체 구조의 덩어리,흉터 형성
촉진 시 통증,말이 어눌함
저혈압,음식 불내증
균형 상실,감각 불편함
무기력,악취 나는 소변
체중 감소,좌심방 비대
안절부절,전반적인 불편함
요통,약한 손톱
기분 변화,임신 경험 0회
산성,저체온증
비만,종교적 신념 있음
소화불량,진동음
실신,급박뇨
두꺼워짐,근육 소모
근육 약화,자연막 파열
뻣뻣한 목,자연적
기좌호흡,목 경직
미열,지속적인 소변 느낌
숨가쁨,신경과민
부은 림프절,결절성 피부 발진
청각 환각,악액질
자살 충동,삼킴 통증
부기,급성 간부전
출혈,목의 반점
떨림,블랙헤드
가래,눈물
다뇨증,침대에 누워 있는
야간 발한,한쪽 신체의 약화
시야 흐림 및 왜곡,갑상선 비대
연속 재채기,전조증상
가족력,철회
환자 불순응,의식 변성
운동 저하,졸림
자살 충동 느낌,꺼진 눈
체중 증가,폐결절
복통,경직
통증이 있는 걷기,다음증
걱정,독성 모습 (티포스)
빠른 호흡,혼외 관계
졸림,운동 지연
목 통증,에너지 증가
과민한 기분,저산소혈증
천명,염소음
관절 부기,부은 혈관
가려움증,종아리의 두드러진 정맥
불면증,복부 부기
어려움,체액 과부하
복수,느슨한 연상
발작,회전 움직임
호흡 곤란,신조어
절망감,Q파 존재
기절,피부 벗겨짐
눈 뒤 통증,무관심한 기분
반신 마비,경증 마비
저나트륨혈증,은색 먼지 같은
몸에 붉은 반점,가스 배출
혼잡,단클론성
혼수,손톱의 작은 움푹 패인 부분
가래에 피,투사성 구토
시각 장애,광민감증
배뇨 시 작열감,하반신 마비
녹슨 가래,신음소리
목 자극,가슴 통증
운동 시 호흡 곤란,스타흘리선
넘어짐,뒤무직
위 출혈,배뇨 지연
콧물,절박성 요실금
식욕 증가,둔위
후각 상실,내부 가려움증
말이 어눌함,염증성 손톱
두근거림,혀의 궤양
두근거림,불안정함
수혈 받음,노란 변색
비멸균 주사 받음,작열감
부비동 압력,혼미
눈의 충혈,쇠약
고칼륨혈증,기종 변화
혈역학적으로 안정됨,심비대
우울증,심혈관 사건
현기증,증상 악화 요인
빠른 심박수,불행함
비정상 월경,보상 실패
안절부절,배뇨 곤란
시각 환각,수축기 심잡음
입술 건조 및 저림,T파 역전
전립선 비대증,가스
복통,언어적 학대 행동
의식 명료,벌레 기어다니는 느낌
균형 상실,혈액 양성
노숙,QT 간격 연장
독성 모습 (티포스),청색증
서맥,이완 불능증
종양 세포 침입,점액성 가래
불규칙한 혈당 수치,방이 회전하는 느낌
땀 증가,고탄산혈증
팔다리 부기,조기 포만감
갑상선 비대,휠체어에 묶인
급성 간부전,쉰 목소리
황색 소변,공포
정신 상태 변화,간비장비대
얼굴 마비,긁힌 자국
늑막 통증,운동 실조
거식증,녹색 가래
불안,허약한
약한 손톱,적혈구 용적률 감소
구아약 양성,점 유뇨
소화불량,노란 딱지에서 나오는 액체
기분 변화,팔다리 약화
산성,움직임 경직
비만,코 주위 붉은 상처
요통,집중력 부족
복부 부기,임신 1회
종아리의 두드러진 정맥,기이맥
가슴 불편감,조정 불능
복부 압통,창백
가래가 있는 기침,불안정한 걸음걸이
홍반,시야 흐림
부은 혈관,혼외 관계
차가운 손발,목의 반점
가래 없는 기침,늑막 통증
부은 다리,악취 나는 소변
경련,결절성 피부 발진
복부 팽창,근육 소모
근육통,신장 각 압통
트랜스아미나아제 상승,공막 황달
음주력,소변 줄기 느려짐
멍,농가래
쌕쌕거림,ST 분절 하강
붓는 얼굴과 눈,자세 유지
협심증,불량한 치아 상태
뻣뻣한 목,협착음
근육 약화,농포
울적함,중첩
발적,의식 변성
세균 농양,수축기 박출 심잡음
체액 과부하,청각 과민
변비,저알부민혈증
무의식 상태,수기흉
염증성 손톱,색소 변화 반점
호흡 곤란,낭성 병변
가스 배출,지속적인 소변 느낌
투명도 감소,저칼슘혈증 결과
