index,0
fatigue,143
vomiting,141
nausea,99
high fever,89
headache,84
loss of appetite,81
abdominal pain,70
yellowish skin,61
yellowing of eyes,58
cough,58
malaise,56
chills,53
joint pain,46
sweating,43
chest pain,42
skin rash,42
dark urine,41
pain,41
itching,41
shortness of breath,40
lethargy,39
muscle pain,35
irritability,35
diarrhoea,35
fever,34
excessive hunger,34
weight loss,32
mild fever,27
pain abdominal,27
swelled lymph nodes,26
breathlessness,26
phlegm,26
dizziness,25
blurred and distorted vision,25
diarrhea,24
asthenia,22
constipation,22
dyspnea,22
unresponsiveness,22
chill,21
decreased body weight,20
apyrexial,19
agitation,19
red spots over body,19
rale,18
abnormal menstruation,17
lesion,17
depression,17
fast heart rate,17
pain chest,17
mass of body structure,17
sore to touch,16
restlessness,16
hypotension,16
loss of balance,16
mood swings,15
back pain,15
obesity,15
acidity,15
indigestion,15
muscle weakness,14
syncope,14
stiff neck,14
orthopnea,14
thicken,14
polyuria,13
suicidal,13
night sweat,13
hallucinations auditory,13
swelling,13
tremor,13
haemorrhage,13
hypokinesia,12
continuous sneezing,12
feeling suicidal,12
patient non compliance,12
family history,12
wheezing,11
worry,11
weight gain,11
sleepy,11
swelling joints,11
neck pain,11
irritable mood,11
stomach pain,11
painful walking,11
tachypnea,11
sleeplessness,10
hyponatremia,10
seizure,10
hemiplegia,10
ascites,10
pruritus,10
pain behind the eyes,10
feeling hopeless,10
distress respiratory,10
difficulty,10
blackout,10
receiving blood transfusion,9
throat irritation,9
palpitation,9
hemodynamically stable,9
stomach bleeding,9
rusty sputum,9
runny nose,9
loss of smell,9
slurred speech,9
burning micturition,9
redness of eyes,9
blood in sputum,9
congestion,9
coma,9
hyperkalemia,9
palpitations,9
increased appetite,9
dyspnea on exertion,9
sinus pressure,9
fall,9
visual disturbances,9
receiving unsterile injections,9
brittle nails,8
consciousness clear,8
bradycardia,8
tumor cell invasion,8
drying and tingling lips,8
irregular sugar level,8
facial paresis,8
enlarged thyroid,8
anorexia,8
acute liver failure,8
sweating increased,8
homelessness,8
prostatism,8
anxiety,8
pleuritic pain,8
mental status changes,8
swollen extremeties,8
toxic look (typhos),8
hallucinations visual,8
yellow urine,8
guaiac positive,8
belly pain,8
swelling of stomach,7
non-productive cough,7
myalgia,7
weepiness,7
fluid overload.1,7
productive cough,7
abdominal tenderness,7
erythema,7
chest discomfort,7
bruising,7
cold hands and feets,7
cramps,7
angina pectoris,7
rhonchus,7
swollen blood vessels,7
distention of abdomen,7
prominent veins on calf,7
puffy face and eyes,7
abscess bacterial,7
redness,7
history of alcohol consumption,7
transaminitis,7
swollen legs,7
mucoid sputum,6
hematuria,6
mood depressed,6
shortness  of breath,6
hip joint pain,6
inflammatory nails,6
unconscious state,6
jugular venous distention,6
knee pain,6
passage of gases,6
nightmare,6
ulcers on tongue,6
internal itching,6
chest tightness,6
dysarthria,6
sinus rhythm,6
unsteadiness,6
intoxication,6
muscle twitch,6
skin peeling,6
small dents in nails,6
decreased translucency,6
numbness,6
spinning movements,6
silver like dusting,6
haemoptysis,5
spotting  urination,5
metastatic lesion,5
lack of concentration,5
breath sounds decreased,5
labored breathing,5
verbal auditory hallucinations,5
irritation in anus,5
orthostasis,5
yellow crust ooze,5
cushingoid habitus,5
bloody stool,5
lightheadedness,5
movement stiffness,5
red sore around nose,5
snuffle,5
extreme exhaustion,5
ecchymosis,5
splenomegaly,5
weakness in limbs,5
gurgle,5
unsteady gait,5
clonus,5
throat sore,5
pain during bowel movements,5
oliguria,5
yellow sputum,5
catatonia,5
pain in anal region,5
distended abdomen,5
blister,5
vertigo,5
scar tissue,5
continuous feel of urine,4
scurring,4
patches in throat,4
bladder discomfort,4
pus filled pimples,4
polydypsia,4
fremitus,4
neck stiffness,4
bedridden,4
sunken eyes,4
aura,4
muscle wasting,4
shivering,4
nervousness,4
speech slurred,4
urgency of micturition,4
gravida 0,4
food intolerance,4
general discomfort,4
paresthesia,4
motor retardation,4
painful swallowing,4
drowsiness,4
energy increased,4
sensory discomfort,4
left atrial hypertrophy,4
enuresis,4
pressure chest,4
has religious belief,4
dysuria,4
heartburn,4
asterixis,4
natural,4
nausea and vomiting,4
hypoxemia,4
withdraw,4
lung nodule,4
egophony,4
nodal skin eruptions,4
dehydration,4
weakness of one body side,4
stiffness,4
hypothermia,4
watering from eyes,4
blackheads,4
altered sensorium,4
foul smell of urine,4
cachexia,4
dischromic  patches,4
spontaneous rupture of membranes,4
extra marital contacts,4
terrify,3
cardiomegaly,3
stupor,3
wheelchair bound,3
hypercapnia,3
breech presentation,3
photophobia,3
scratch marks,3
t wave inverted,3
stool color yellow,3
tenesmus,3
spasm,3
arthralgia,3
colic abdominal,3
